"age","year","gender","race","N"
59,1979,"Male","Non_Hispanic_White",919540
60,1979,"Male","Non_Hispanic_White",899033
61,1979,"Male","Non_Hispanic_White",877735
62,1979,"Male","Non_Hispanic_White",890626
63,1979,"Male","Non_Hispanic_White",878645
64,1979,"Male","Non_Hispanic_White",864756
65,1979,"Male","Non_Hispanic_White",857868
66,1979,"Male","Non_Hispanic_White",832988
67,1979,"Male","Non_Hispanic_White",804067
68,1979,"Male","Non_Hispanic_White",786404
69,1979,"Male","Non_Hispanic_White",771921
70,1979,"Male","Non_Hispanic_White",699809
71,1979,"Male","Non_Hispanic_White",657607
72,1979,"Male","Non_Hispanic_White",625023
73,1979,"Male","Non_Hispanic_White",573570
74,1979,"Male","Non_Hispanic_White",546167
75,1979,"Male","Non_Hispanic_White",518692
76,1979,"Male","Non_Hispanic_White",474402
77,1979,"Male","Non_Hispanic_White",436102
78,1979,"Male","Non_Hispanic_White",400866
79,1979,"Male","Non_Hispanic_White",356402
80,1979,"Male","Non_Hispanic_White",313216
81,1979,"Male","Non_Hispanic_White",280293
82,1979,"Male","Non_Hispanic_White",249322
83,1979,"Male","Non_Hispanic_White",215877
84,1979,"Male","Non_Hispanic_White",183621
85,1979,"Male","Non_Hispanic_White",130883
86,1979,"Male","Non_Hispanic_White",118295
87,1979,"Male","Non_Hispanic_White",103969
88,1979,"Male","Non_Hispanic_White",88115
89,1979,"Male","Non_Hispanic_White",75425
90,1979,"Male","Non_Hispanic_White",62374
91,1979,"Male","Non_Hispanic_White",50271
92,1979,"Male","Non_Hispanic_White",40226
93,1979,"Male","Non_Hispanic_White",31532
94,1979,"Male","Non_Hispanic_White",22502
95,1979,"Male","Non_Hispanic_White",15405
96,1979,"Male","Non_Hispanic_White",11226
97,1979,"Male","Non_Hispanic_White",7278
98,1979,"Male","Non_Hispanic_White",4760
99,1979,"Male","Non_Hispanic_White",3074
0,1980,"Male","Non_Hispanic_White",1625237
1,1980,"Male","Non_Hispanic_White",1543718
2,1980,"Male","Non_Hispanic_White",1515104
3,1980,"Male","Non_Hispanic_White",1501902
4,1980,"Male","Non_Hispanic_White",1522954
5,1980,"Male","Non_Hispanic_White",1518509
6,1980,"Male","Non_Hispanic_White",1470958
7,1980,"Male","Non_Hispanic_White",1503604
8,1980,"Male","Non_Hispanic_White",1448529
9,1980,"Male","Non_Hispanic_White",1516098
10,1980,"Male","Non_Hispanic_White",1526225
11,1980,"Male","Non_Hispanic_White",1433556
12,1980,"Male","Non_Hispanic_White",1389108
13,1980,"Male","Non_Hispanic_White",1392021
14,1980,"Male","Non_Hispanic_White",1340821
15,1980,"Male","Non_Hispanic_White",1376151
16,1980,"Male","Non_Hispanic_White",1355241
17,1980,"Male","Non_Hispanic_White",1416989
18,1980,"Male","Non_Hispanic_White",1484016
19,1980,"Male","Non_Hispanic_White",1691913
20,1980,"Male","Non_Hispanic_White",1692230
21,1980,"Male","Non_Hispanic_White",1610602
22,1980,"Male","Non_Hispanic_White",1539203
23,1980,"Male","Non_Hispanic_White",1554125
24,1980,"Male","Non_Hispanic_White",1618168
25,1980,"Male","Non_Hispanic_White",1699669
26,1980,"Male","Non_Hispanic_White",1750826
27,1980,"Male","Non_Hispanic_White",1795467
28,1980,"Male","Non_Hispanic_White",1743243
29,1980,"Male","Non_Hispanic_White",1912779
30,1980,"Male","Non_Hispanic_White",1889692
31,1980,"Male","Non_Hispanic_White",1819734
32,1980,"Male","Non_Hispanic_White",1837715
33,1980,"Male","Non_Hispanic_White",1826621
34,1980,"Male","Non_Hispanic_White",1818403
35,1980,"Male","Non_Hispanic_White",1793388
36,1980,"Male","Non_Hispanic_White",1712670
37,1980,"Male","Non_Hispanic_White",1680936
38,1980,"Male","Non_Hispanic_White",1563569
39,1980,"Male","Non_Hispanic_White",1652103
40,1980,"Male","Non_Hispanic_White",1595340
41,1980,"Male","Non_Hispanic_White",1531897
42,1980,"Male","Non_Hispanic_White",1540868
43,1980,"Male","Non_Hispanic_White",1657562
44,1980,"Male","Non_Hispanic_White",1232786
45,1980,"Male","Non_Hispanic_White",1234186
46,1980,"Male","Non_Hispanic_White",1205901
47,1980,"Male","Non_Hispanic_White",1284948
48,1980,"Male","Non_Hispanic_White",1062265
49,1980,"Male","Non_Hispanic_White",1099093
50,1980,"Male","Non_Hispanic_White",1027094
51,1980,"Male","Non_Hispanic_White",978293
52,1980,"Male","Non_Hispanic_White",957545
53,1980,"Male","Non_Hispanic_White",915663
54,1980,"Male","Non_Hispanic_White",921483
55,1980,"Male","Non_Hispanic_White",908198
56,1980,"Male","Non_Hispanic_White",867551
57,1980,"Male","Non_Hispanic_White",872008
58,1980,"Male","Non_Hispanic_White",832775
59,1980,"Male","Non_Hispanic_White",919540
60,1980,"Male","Non_Hispanic_White",899033
61,1980,"Male","Non_Hispanic_White",877735
62,1980,"Male","Non_Hispanic_White",890626
63,1980,"Male","Non_Hispanic_White",878645
64,1980,"Male","Non_Hispanic_White",864756
65,1980,"Male","Non_Hispanic_White",857868
66,1980,"Male","Non_Hispanic_White",832988
67,1980,"Male","Non_Hispanic_White",804067
68,1980,"Male","Non_Hispanic_White",786404
69,1980,"Male","Non_Hispanic_White",771921
70,1980,"Male","Non_Hispanic_White",699809
71,1980,"Male","Non_Hispanic_White",657607
72,1980,"Male","Non_Hispanic_White",625023
73,1980,"Male","Non_Hispanic_White",573570
74,1980,"Male","Non_Hispanic_White",546167
75,1980,"Male","Non_Hispanic_White",518692
76,1980,"Male","Non_Hispanic_White",474402
77,1980,"Male","Non_Hispanic_White",436102
78,1980,"Male","Non_Hispanic_White",400866
79,1980,"Male","Non_Hispanic_White",356402
80,1980,"Male","Non_Hispanic_White",313216
81,1980,"Male","Non_Hispanic_White",280293
82,1980,"Male","Non_Hispanic_White",249322
83,1980,"Male","Non_Hispanic_White",215877
84,1980,"Male","Non_Hispanic_White",183621
85,1980,"Male","Non_Hispanic_White",130883
86,1980,"Male","Non_Hispanic_White",118295
87,1980,"Male","Non_Hispanic_White",103969
88,1980,"Male","Non_Hispanic_White",88115
89,1980,"Male","Non_Hispanic_White",75425
90,1980,"Male","Non_Hispanic_White",62374
91,1980,"Male","Non_Hispanic_White",50271
